[2026-02-06 16:15:19,513] INFO - initiate the data ingestion
[2026-02-06 16:15:26,088] INFO - performed train test split on the dataframe
[2026-02-06 16:15:26,088] INFO - exited split_data_as_train_test method of Data_Ingestion class
[2026-02-06 16:15:26,088] INFO - exporting training and test file path
[2026-02-06 16:15:26,138] INFO - exported train and test file path
[2026-02-06 16:15:26,139] INFO - Data initiation completed
[2026-02-06 16:15:26,145] INFO - inititate the data validation
[2026-02-06 16:15:26,173] INFO - required no of columns in data 2
[2026-02-06 16:15:26,174] INFO - no of columns in the data frame 31
[2026-02-06 16:15:26,174] INFO - required no of columns in data 2
[2026-02-06 16:15:26,174] INFO - no of columns in the data frame 31
[2026-02-06 16:15:26,305] INFO - data validation completed
[2026-02-06 16:15:26,305] INFO - data transformation started
[2026-02-06 16:15:26,305] INFO - entered initiate_data_transformation method of dataTransformation class
[2026-02-06 16:15:26,305] INFO - starting data transformation
[2026-02-06 16:15:26,334] INFO - entered get_data_transformation_object method of transformation class
[2026-02-06 16:15:26,335] INFO - initialise knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-06 16:15:26,348] INFO - entered the the save_object method of mainutils class
[2026-02-06 16:15:26,352] INFO - Exited the save_object method of mainutils class
[2026-02-06 16:15:26,354] INFO - data transformation completed
[2026-02-06 16:15:26,354] INFO - model traning started
